Name,Party,Status 20221114,Year,Twitter,Href,Position,State
Shane Hernandez,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Shane_Hernandez,Governor,Michigan
Brian Ellison,Libertarian,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/BEllisonSaysHi'})",https://ballotpedia.org/Brian_Ellison,Governor,Michigan
Mellissa Carone,unknown,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Mellissa_Carone'})",https://ballotpedia.org/Mellissa_Carone,Governor,Michigan
Destiny Clayton,Green,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Destiny_Clayton,Governor,Michigan
Doug Dern,unknown,Last election,2022.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/chapter13mich'})",https://ballotpedia.org/Doug_Dern,Governor,Michigan
Bill Schuette,Republican,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/SchuetteOnDuty'})",https://ballotpedia.org/Bill_Schuette_(Michigan),Governor,Michigan
Bill Gelineau,Libertarian,Last election,2018.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/BillGelineau'})",https://ballotpedia.org/Bill_Gelineau,Governor,Michigan
Todd Schleiger,unknown,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Todd_Schleiger,Governor,Michigan
Jennifer Kurland,Green,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/kurland4mi'})",https://ballotpedia.org/Jennifer_Kurland,Governor,Michigan
Keith Butkovich,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Keith_Butkovich,Governor,Michigan
